Stadtbereich,Nachhaltige Mobilitätskonzepte,,,,,,,,,,,,,,,E-Mobilität fördern,,Radverkehr stärken,,,,,,,,,Öffentlichen Personennahverkehr fördern,,,,,,,,Weiteres,,,,,,,,,,,,,,,,,,,,,,,,
,Carsharing Nutzer,,,,,Anzahl Carsharing Fahrzeuge,,,,,Anzahl Carsharing Standorte,,,,,Anteil zugelassener E-Fahrzeuge in %,Anteil zugelassener Plug-In Hybride am Gesamtbestand in %,Anteil Radverkehr an den Verkehrsmitteln in %,Anzahl Fahrradunfälle  mit leichtverletzten Personen,,,,Anzahl Fahrradunfälle  mit schwerverletzten Personen,,,,Beförderte Personen (ÖPNV),,,,,,"Anzahl der Personen, die sehr und eher zufrieden mit dem öffentlichem Nahverkehr sind","Anzahl der Personen, die eher unzufrieden und überhaupt nicht zufrieden mit dem öffentlichem Nahverkehr sind",Anteil PKW an den Verkehrsmitteln in %,Anteil Fußgänger an den Verkehrsmitteln in %,Anzahl der Verkehrsunfälle in der Stadt Osnabrück,,,,,,,Anzahl der Fahrradunfälle in der Stadt Osnabrück,,,,PKW-Dichte (Pkw/1000EW),,,,,,,Durchschnitt PKW/Haushalt,,,,Anteil ÖPNV an den Verkehrsmitteln in %
,2012,2013,2014,2015,2016,2012,2013,2014,2015,2016,2012,2013,2014,2015,2016,2017,2017,2013,2013,2014,2015,2016,2013,2014,2015,2016,2011,2012,2013,2014,2015,2016,2015,2015,2013,2013,2010,2011,2012,2013,2014,2015,2016,2013,2014,2015,2016,2010,2011,2012,2013,2014,2015,2016,2014,2015,2016,2017,2013
Stadt Osnabrück gesamt,737,960,1436,1860,2409,41,49,69,86,79,36,42,44,47,50,0.06,0.03,20,241,253,259,274,33,50,52,49,"35,596,801","35,438,793","35,681,996","35,539,657","36,075,670","36,305,605",370,111,48,24,5060,5117,5165,5331,5268,5217,4904,390,431,434,443,472,475,479,484,491,479,483,0.77,0.78,0.79,0.8,8
Innenstadt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.37,0.38,0.38,0.4,-
Weststadt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.72,0.71,0.73,0.72,-
Westerberg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.82,0.84,0.87,0.89,-
Eversburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.84,0.86,0.81,0.82,-
Hafen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.63,0.64,0.66,0.66,-
Sonnenhügel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.76,0.77,0.8,0.8,-
Haste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,0.82,0.84,0.85,-
Dodesheide,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.86,0.86,0.89,0.92,-
Gartlage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.51,0.53,0.53,0.56,-
Schinkel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.59,0.59,0.6,0.61,-
Widukindland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.02,1.02,1.03,1.03,-
Schinkel-Ost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.93,0.94,0.99,0.99,-
Fledder,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.65,0.67,0.67,0.68,-
Schölerberg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.65,0.65,0.66,0.66,-
Kalkhügel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.69,0.7,0.73,0.73,-
Wüste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6,0.61,0.62,0.63,-
Sutthausen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.18,1.15,1.16,1.15,-
Hellern,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,1.12,1.14,1.16,-
Atter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.19,1.2,1.23,1.22,-
Pye,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.27,1.31,1.31,1.33,-
Darum-Gretesch-Lüstringen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.07,1.08,1.09,1.1,-
Voxtrup,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.07,1.08,1.08,1.11,-
Nahne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.09,1.11,1.17,1.2,-
